Probe ID,TargetID,ENTREZ_GENE_ID,log2(Fold change) D1 500vNT,Symmetrical raw fold changeD1 500vNT,FDRAdj p-val D1 500vNT,D1 500vNT DEG,log2(Fold change) D4 500vNT,Symmetrical raw fold change D4 500vNT,FDRAdj p-val D4 500vNT,D4 500vNTDEG,log2(Fold change) D7 500vNT,Symmetrical raw fold change D7 500vNT,FDRAdj p-val D7 500vNT,D7 500vNT DEG,log2(Fold change) D14 500vNT,Symmetrical raw fold change D14 500vNT,FDR Adj p-val D14 500vNT,D14 500vNT DEG,log2(Fold change)  D1 50vNT,Symmetrical raw fold change  D1 50vNT,FDR Adj p-val D1 50vNT,D1 50vNT DEG,log2(Fold change) D4 50vNT,Symmetrical raw fold change D4 50vNT,FDRAd p-val D4 50vNT,D4 50vNT DEG,log2(Fold change) D7 50vNT,Symmetrical raw fold change  D7 50vNT,FDRAdj p-val D7 50vNT,D7 50vNT DEG,log2(Fold change) D14 50vNT,Symmetrical raw fold change D14 50vNT,FDRAdj p-val D14 50vNT,D14 50vNT DEG,D14 50vNT DEG,D7 50vNT DEG,D4 50vNT DEG,D1 50vNT DEG,D14 500vNT DEG,D7 500vNT DEG,D4 500vNTDEG,D1 500vNT DEG,DEG DOWN ANY,DEG UP ANY
160019,SORT1,6272,-0.5317515,-1.445683,0.000480853,DOWN,-0.9891139,-1.984965,4.92968E-10,DOWN,-1.241419,-2.364309,6.68716E-10,DOWN,-1.154605,-2.226234,6.19306E-11,DOWN,-0.358168,-1.281797,0.1960931,FALSE,-0.608095,-1.524245,0.000222644,DOWN,-1.25003,-2.378463,2.90789E-11,DOWN,-0.9054973,-1.87319,4.24709E-08,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
160291,MVP,9961,0.2985659,1.229921,0.03089239,FALSE,-0.9779323,-1.96964,2.31279E-09,DOWN,-0.6728661,-1.594237,2.40336E-05,DOWN,-0.8970206,-1.862216,2.84436E-07,DOWN,-0.06665164,-1.047283,0.9101634,FALSE,-0.3922339,-1.312424,0.016345,FALSE,-0.9024264,-1.869207,1.17177E-08,DOWN,-0.9251657,-1.898902,1.74546E-07,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,FALSE,5,0
160669,ERGIC3,51614,-0.4631918,-1.378588,0.01385972,FALSE,-0.6876673,-1.610677,8.14226E-06,DOWN,-0.9619079,-1.947884,1.08367E-05,DOWN,-1.128274,-2.18597,1.07553E-06,DOWN,-0.118472,-1.085585,0.8652613,FALSE,-0.5989273,-1.51459,0.00193464,DOWN,-0.6791182,-1.601161,3.33712E-05,DOWN,-1.022094,-2.030865,4.5992E-06,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
240086,PHGDH,26227,-3.017109,-8.095438,9.57696E-13,DOWN,-1.526217,-2.880296,2.58056E-09,DOWN,-1.082224,-2.117297,6.01715E-05,DOWN,-0.9379494,-1.915803,4.02482E-05,DOWN,-0.3471341,-1.272031,0.6268489,FALSE,-1.094647,-2.135608,0.000260701,DOWN,-1.977734,-3.938738,4.92807E-10,DOWN,-0.7257745,-1.653788,0.003404028,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,DOWN,7,0
240280,DMKN,93099,-0.005573977,-1.003871,0.9780235,FALSE,-0.7240862,-1.651854,4.0549E-06,DOWN,-2.648985,-6.272259,1.88888E-13,DOWN,-0.9223868,-1.895248,4.06381E-06,DOWN,0.1787419,1.131896,0.7058721,FALSE,-0.7585773,-1.691821,2.95306E-05,DOWN,-2.379772,-5.204545,7.98781E-13,DOWN,-0.9976867,-1.996796,7.55389E-07,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
240400,PMEPA1,56937,0.5591527,1.473404,0.000636887,UP,-1.058583,-2.082885,8.97522E-09,DOWN,-1.442209,-2.717367,3.92272E-09,DOWN,-0.4869977,-1.401525,0.005966129,FALSE,-0.2093862,-1.156196,0.6303663,FALSE,-0.8053874,-1.747615,0.000105799,DOWN,-1.603769,-3.039363,5.28692E-11,DOWN,-1.025744,-2.036009,3.59233E-06,DOWN,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,UP,5,1
240546,SCAND1,51282,-0.07386713,-1.052534,0.6025692,FALSE,-0.6299007,-1.547459,0.00018407,DOWN,-1.131014,-2.190126,2.7179E-09,DOWN,-0.8779712,-1.837789,6.92968E-06,DOWN,0.2465673,1.186381,0.5052929,FALSE,-0.6501325,-1.569312,0.003091329,DOWN,-0.9023318,-1.869084,8.39152E-07,DOWN,-0.87761,-1.837329,5.11783E-06,DOWN,DOWN,DOWN,DOWN,FALSE,DOWN,DOWN,DOWN,FALSE,6,0
290239,NAV2,89797,-0.5754442,-1.490136,0.000249489,DOWN,-0.8016342,-1.743074,1.93206E-09,DOWN,-0.5502807,-1.464371,0.00145964,DOWN,-0.6374093,-1.555533,6.28557E-06,DOWN,-0.3049688,-1.235392,0.4784419,FALSE,-0.4048112,-1.323916,0.006886876,FALSE,-0.7371005,-1.666823,3.48306E-07,DOWN,-0.6718342,-1.593097,2.01046E-05,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
290348,POFUT1,23509,-0.9854862,-1.97998,5.97065E-06,DOWN,-1.558895,-2.94628,4.86813E-11,DOWN,-0.5203499,-1.434303,0.02533475,DOWN,-1.363142,-2.572448,5.89702E-06,DOWN,-0.7662948,-1.700896,0.134683,FALSE,0.03198687,1.022419,0.9517068,FALSE,-0.9999035,-1.999866,2.28688E-06,DOWN,-1.317552,-2.492429,1.67682E-07,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,DOWN,6,0
290730,HIST1H2BD,3017,0.8701723,1.827881,2.45415E-06,UP,-0.9150899,-1.885687,5.24823E-08,DOWN,-1.434727,-2.70331,1.71368E-08,DOWN,-1.513104,-2.854235,3.13395E-12,DOWN,-0.1356274,-1.09857,0.8069235,FALSE,0.1029434,1.073962,0.681292,FALSE,-1.506948,-2.842081,1.05738E-10,DOWN,-0.8401339,-1.790216,4.33865E-05,DOWN,DOWN,DOWN,FALSE,FALSE,DOWN,DOWN,DOWN,UP,5,1
360110,KLF6,1316,-0.06434116,-1.045607,0.7589493,FALSE,0.02769461,1.019382,0.8694962,FALSE,-1.114365,-2.164996,6.54386E-05,DOWN,-1.676434,-3.196369,3.38317E-08,DOWN,0.3219469,1.250016,0.6158143,FALSE,-0.8035258,-1.745361,0.002787989,DOWN,-0.3908907,-1.311203,0.01273226,FALSE,-0.6145778,-1.53111,0.01267126,DOWN,DOWN,FALSE,DOWN,FALSE,DOWN,DOWN,FALSE,FALSE,4,0
